"Attribute","Weight"
"bed",0.3335447200000697
"bedroomCarp",0.3327670631343391
"officeLight",0.30120072845615115
"officeCarp",0.30106462622958524
"office",0.3005541981166026
"bedroomLight",0.29805615702765204
"couch",0.28049609388888375
"livingCarp",0.27832666890630203
"bedroomDoor",0.25945610483924514
"oven",0.24419232949387465
"kitchenLight",0.24231480893644192
"kitchenCarp",0.2421809712233042
"tv",0.1981304168385358
"hallwayLight",0.18597178186298832
"mainDoorLock",0.17166007015043058
"mainDoor",0.17123099176336495
"officeDoor",0.15239132146974196
"kitchenDoor",0.15185328230689116
"bedTableLamp",0.13360862817135602
"assistant",0.12526624960906826
"bathroomLight",0.11767439756202862
"bathroomCarp",0.11437058615469593
"livingLight",0.09994351431369032
"timestamp:day_of_week = 7",0.09415169973911641
"officeDoorLock",0.0919270293528155
"timestamp:day_of_week = 1",0.08093079042606402
"timestamp:day_of_week = 4",0.065850673060689
"fridge",0.05696876358241902
"timestamp:day_of_week = 5",0.04694663145280988
"wardrobe",0.044385283280556874
"timestamp:day_of_week = 6",0.03773249864770576
"timestamp:day_of_week = 2",0.033369516728227584
"bathroomDoor",0.026225097381650565
"days_diff(timestamp, Today)",0.02363147712232156
"timestamp:day_of_week = 3",0.019476878831108525
